Sold to ID,Ship to ID,Material ID,Price
CUST-001,SHIP-001-NL,MAT-1001,244.25
CUST-001,SHIP-001-BE,MAT-1001,245.44
CUST-014,SHIP-014-DE,MAT-1001,315.27
CUST-014,SHIP-014-PL,MAT-1001,313.97
CUST-027,SHIP-027-FR,MAT-1001,494.79
CUST-027,SHIP-027-BE,MAT-1001,491.24
CUST-038,SHIP-038-LT,MAT-1001,553502.08
CUST-038,SHIP-038-EE,MAT-1001,549924.18
CUST-052,SHIP-052-ES,MAT-1001,3257.51
CUST-052,SHIP-052-PT,MAT-1001,3276.31
CUST-073,SHIP-073-SE,MAT-1001,487.07
CUST-073,SHIP-073-DK,MAT-1001,482.30
CUST-001,SHIP-001-NL,MAT-2004,306.75
CUST-001,SHIP-001-BE,MAT-2004,307.94
CUST-014,SHIP-014-DE,MAT-2004,383.20
CUST-014,SHIP-014-PL,MAT-2004,381.90
CUST-027,SHIP-027-FR,MAT-2004,587.86
CUST-027,SHIP-027-BE,MAT-2004,584.30
CUST-038,SHIP-038-LT,MAT-2004,647243.23
CUST-038,SHIP-038-EE,MAT-2004,643665.32
CUST-052,SHIP-052-ES,MAT-2004,3750.00
CUST-052,SHIP-052-PT,MAT-2004,3768.79
CUST-073,SHIP-073-SE,MAT-2004,549.57
CUST-073,SHIP-073-DK,MAT-2004,544.80
CUST-001,SHIP-001-NL,MAT-3098,182.23
CUST-001,SHIP-001-BE,MAT-3098,183.43
CUST-014,SHIP-014-DE,MAT-3098,247.86
CUST-014,SHIP-014-PL,MAT-3098,246.56
CUST-027,SHIP-027-FR,MAT-3098,402.44
CUST-027,SHIP-027-BE,MAT-3098,398.89
CUST-038,SHIP-038-LT,MAT-3098,460476.52
CUST-038,SHIP-038-EE,MAT-3098,456898.62
CUST-052,SHIP-052-ES,MAT-3098,2768.79
CUST-052,SHIP-052-PT,MAT-3098,2787.59
CUST-073,SHIP-073-SE,MAT-3098,425.06
CUST-073,SHIP-073-DK,MAT-3098,420.28
CUST-001,SHIP-001-NL,MAT-4120,406.69
CUST-001,SHIP-001-BE,MAT-4120,407.88
CUST-014,SHIP-014-DE,MAT-4120,491.83
CUST-014,SHIP-014-PL,MAT-4120,490.54
CUST-027,SHIP-027-FR,MAT-4120,736.69
CUST-027,SHIP-027-BE,MAT-4120,733.13
CUST-038,SHIP-038-LT,MAT-4120,797157.49
CUST-038,SHIP-038-EE,MAT-4120,793579.59
CUST-052,SHIP-052-ES,MAT-4120,4537.59
CUST-052,SHIP-052-PT,MAT-4120,4556.39
CUST-073,SHIP-073-SE,MAT-4120,649.51
CUST-073,SHIP-073-DK,MAT-4120,644.74
CUST-001,SHIP-001-NL,MAT-5185,96.36
CUST-001,SHIP-001-BE,MAT-5185,97.56
CUST-014,SHIP-014-DE,MAT-5185,154.52
CUST-014,SHIP-014-PL,MAT-5185,153.23
CUST-027,SHIP-027-FR,MAT-5185,274.57
CUST-027,SHIP-027-BE,MAT-5185,271.02
CUST-038,SHIP-038-LT,MAT-5185,331671.90
CUST-038,SHIP-038-EE,MAT-5185,328094.00
CUST-052,SHIP-052-ES,MAT-5185,2092.10
CUST-052,SHIP-052-PT,MAT-5185,2110.90
CUST-073,SHIP-073-SE,MAT-5185,339.19
CUST-073,SHIP-073-DK,MAT-5185,334.41
